Education_id,foreign_worker_info_education,foreign_worker_info_education_other
100,Doctorate,
101,Bachelor'S,
102,Master'S,
103,Other,Two Years Of College-Level Education
104,Other,Dvm
105,Other,M.D. (Doctor Of Medicine)
106,Other,1 Year Of Academic Studies Toward A Bachelor Of Science Degree.
107,Other,Llm
108,Other,Doctor Of Chiropractic
109,Other,M.D.
110,Other,Medical Doctor
111,Other,First Professional Medical Degree
112,Other,Medical Degree
113,Other,Md Doctor Of Medicine
114,Other,Dds
115,Associate'S,
116,Other,Md
117,None,
118,Other,Professional Degree Equivalent
119,High School,
120,Other,Medical Degree (Mbbs)
121,Other,Bachelor Of Medicine Bachelor Of Surgery
122,Other,Bachelor'S Degree Equivalent
123,Other,Indian 3-Year Bachelor'S Degree.
124,Other,Medical Diploma
125,Other,Post Graduate Certificate
126,Other,Experiential Equivalent To A Bachelor'S Degree
127,Other,3 Yrs University Level Study + 2 Yrs Exp To Meet Bach Req (See H.14)
128,Other,Medical Degree (Md)
129,Other,Diploma In Environmental Pollution Control Technology(Equiv To U.S. Bach)
130,Other,Foreign Degree Equivalent Of A U.S. Doctor Of Medicine Degree
131,Other,3-Year Bachelor'S Degree
132,Other,Ll.M. (Master Of Laws)
133,Other,3 Year Bachelor'S Degree
134,Other,Mbbs (M.D. Equivalent)
135,Other,Doctor & Surgeon (M.D. Equivalent)
136,Other,Foreign Equivalent To Md Degree (W/Ecfmg Certification)
137,Other,3-Yr Post Secondary Education *See H.14
138,Other,Md Equivalent
139,Other,M.B.B.S.
140,Other,Md/Mbbs
141,Other,Bachelor Of Medicine & Bachelor Of Surgery (Md Equivalent)
142,Other,Dmd
143,Other,Three Yrs Toward A Bachelor'S Degree& 1 Year Experience (See H.14)
144,Other,Doctor Of Dental Medicine
145,Other,D.D.S. (Doctor Of Dental Surgery)
146,Other,Jd
147,Other,Physician And Surgeon Degree (Equivalent To A U.S. M.D. Degree)
148,Other,3 Years Foreign Bachelor'S Degree
149,Other,Mbbs
150,Other,Doctor Of Dental Surgery (Dds)
151,Other,Combination Education & Work Exp Are Equivalent To Bachelor'S
152,Other,Doctor Of Dental Surgery
153,Other,Doctor Of Veterinary Medicine
154,Other,Medicine (Equivalent To M.D.)
155,Other,Foreign Degree Equivalent To Md
156,Other,Medical Degree Or Foreign Equivalent
157,Other,General Certificate In Engineering
158,Other,3 Years Of Academic Study Toward Bachelor Of Science
159,Other,Degree In Osteopathic Medicine
160,Other,Doctor Of Dental Medicine (Dmd)
161,Other,First Professional Degree/ Md/ Ecfmg Equivalent
162,Other,M.D. Degree Or Foreign Degree Equivalent
163,Other,M.B.B.S. (Foreign Equivalent Of M.D.)
164,Other,Master Of Laws (Ll.M.)
165,Other,Three (3) Years Of Academic Studies Toward A Bachelor Of Science
166,Other,Three Years Of College Level Study
167,Other,Post-Secondary Diploma Of Legal Assistant Program
168,Other,Bachelor Of Medicine Bachelor Of Surgery (Mbbs)
169,Other,Associate Degree And 2 Years Related Professional Exp (See H.14)
170,Other,Foreign Equivalent Of Dvm
171,Other,Certificate
172,Other,Diploma
173,Other,Juris Doctor
174,Other,Juris Doctor (J.D.)
175,Other,Doctor Of Medicine And Master Of Surgery
176,Other,Bachelor Of Medicine And Bachelor Of Surgery (Mbbs)
177,Other,Us Bachelor'S Equiv Based On Combo Of Ed/Exp As Determined By Qual Eval
178,Other,Doctor Of Medicine (M.D.)
179,Other,Bachelor Of Medicine And Bachelor Of Surgery - Mbbs (Equivalent To U.S. Medical Degree)
180,Other,Three Year Diploma
181,Other,M.B. B.S.
182,Other,Medical Degree (Foreign Equivalent)
183,Other,J.D.
184,Other,Doctor Of Medicine
185,Other,Post Doctorate
186,Other,3 Yrs Academic Study Towards Bachelor'S In Mech Eng And More Than 6 Years Of Related Experience
187,Other,Medical Doctor (Foreign Equivalent)
188,Other,Completed 4 1/2 Yrs Of University Study In Metallurgical & Chemical Engineering
189,Other,D.D.S.
190,Other,Bach. Deg. Equivalency Eval. Based On Academic Studies And Work Exper
191,Other,Doctor Of Pharmacy (Pharmd)
192,Other,M.D. Degree
193,Other,3 Yrs Of Academic Studies Toward A B.A In Visual Communications
194,Other,Medical Doctor Degree
195,Other,Three Years Of Academic Studies
196,Other,3 Yrs Towards Bachelor'S & 1 Yr Rel Exp. (See H.14)
197,Other,"Bachelor'S Equiv. Based On Combination Of Education, Training And/Or Experience."
198,Other,Mbbs (Bachelor Of Medicine And Bachelor Of Surgery Degree -- Equivalent To M.D.
199,Other,"Diploma Of Technology (See Section K, Job 8 For Explanation Of Equivalency To Bachelor Degree)"
200,Other,More Than 15 Years Of Work Experience Equivalent Of A Bachelor'S Degree In Business Administration
201,Other,M.D. (Foreign Equivalent)
202,Other,First Professional Degree (Mbbs)
203,Other,Doctor Of Pharmacy
204,Other,"The Equivalent Of A Bachelor'S Degree In Education & Experience (See Jobs 5, 6, 7, 8)"
205,Other,Master Of Laws (Llm)
206,Other,Three Years Of Academic Studies Toward A B.A. Degree
207,Other,Medical Degree (M.D.)
208,Other,Master'S Degree In Ot Equivalent (Bachelor'S Degree In Ot Plus 5 Years Of Progressive Experience)
209,Other,4 Years Post-Secondary Education & Three Years Exp.
210,Other,3 Year Bachelor Of Computer Science + 3 Yrs Exp
211,Other,M.D. Or Foreign Equivalent
212,Other,Bachelor'S Equiv. To Mis (As Det. By Qual. Eval. Serv.)
213,Other,Bachelor Of Medicine And Bachelor Of Surgery
214,Other,"M.D. Equivalent - Bachelor Of Medicine, Bachelor Of Surgery (M.B.B.S.)"
215,Other,Over 9 Years Of Relevant Experience (See H.14)
216,Other,Equivalent To Bachelor'S Of Arts
217,Other,Three Year Bachelor'S Degree
218,Other,3-Yr Post Secondary Education *See H-14
219,Other,Professional Experience And Three-Year Degree
220,Other,Education + Experience Equivalent To A U.S. Bachelor'S Degree
221,Other,Foreign Degree Equivalent To A U.S. Doctor Of Medicine (M.D.) Degree
222,Other,Bachelor In Dental Medicine And Surgery
223,Other,Doctor Of Dental Medicine (D.M.D.)
224,Other,Equivalent To A Bachelor'S Degree In Education & Work Experience
225,Other,Three Years Of Undergraduate Study
226,Other,Training Masters Certificate
227,Other,Doctor Of Dental Surgery (D.D.S.)
228,Other,Education And Employment Experience Equivalent To U.S. Bachelor'S Degree
229,Other,Mbbs (Equiv. To M.D. In U.S.)
230,Other,Bachelor'S Equivalent Through Education & Work Experience
231,Other,Foreign Medical Degree Equivalent To A U.S. Doctor Of Medicine (Md) Degree
232,Other,Diploma Of Technology
233,Other,Bach. Equivalency Based On Combo. Of Degree&Professional Exp.
234,Other,Ll.M.
235,Other,Post Graduate Diploma In Business Administration
236,Other,Mbbs (Foreign Equivalent Of M.D.)
237,Other,Jd Degree
238,Other,3 Year Bachelor'S Degree Plus Additional Year Of College Level Coursework
239,Other,Three-Year Degree Bachelor Of Science
240,Other,Bachelorâ€™S Degree/Equivalent: One Year Of Directly Related Experience In Lieu Of One Year Of College
241,Other,M.D
242,Other,Bachelor Of Medicine & Bachelor Of Surgery (Equiv To U.S. M.D. Degree)
243,Other,Bachelor Of Science Educational Equivalency Evaluation
244,Other,Doctor
245,Other,"Accounting Certificate, See H.8-B"
246,Other,Approximately Two Years Of Academic Courses
247,Other,M.B.B.S. (Md)
248,Other,Professional Medical Degree
249,Other,Equivalent Of A Bachelor'S Degree Thru Education & Experience
250,Other,Medical Doctorate
251,Other,"Md/Do Or Equivalent, 1St Professional Degree"
252,Other,Combination Of Education & Experience As Determined To Be Equivalent To Us Bachelor Degree
253,Other,3 Yrs University Study
254,Other,Bachelor'S Degree (3 Year Program)
255,Other,Three-Years Of College-Level Academic Coursework
256,Other,Three Years Academic Study Towards Bachelor'S Degree
257,Other,Bachelor Equivalent Based On Combination Of Education Determined By Professional Evaluation Service
258,Other,3 Years Of Academic Studies Toward A Bachelor Of Business Administration
259,Other,3 Years Of University Level Studies + 2 Years Exp (See Section H.14)
260,Other,J.D. Equivalent
261,Other,3 Yrs Aca Study Toward Bs Deg & Over 13 Yrs Rel Exp (See H.14)
262,Other,Master Of Law
263,Other,Doctor Of Medicine And Surgery (Md)
264,Other,Medical Doctor Diploma (Equivalent To U.S. M.D. Degree)
265,Other,Bachelor'S Equivalent: See H-14
266,Other,"Bach Equiv Based On A Combo Of Edu, Training Or Exp As Determined By Professional Evaluation Srvc"
267,Other,M.D. (Medical Degree)
268,Other,3 Years Of University Study
269,Other,Doctor Of Medicine And Surgery
270,Other,Associates Diploma (2002) & Diploma In Information Tech (2005) Equiv To 3 Years & Curtin Univ - 1 Yr
271,Other,3-Yr Post Secondary Education  * See H.14
272,Other,Ph.D.
273,Other,Ddm
274,Other,Doctor Of Medicine (M.D. Equivalent)
275,Other,Three Years Of University Study
276,Other,"Equivalent Of A Bachelor'S Through A Combination Of Education & Exp [See K, Job 7]"
277,Other,M.B.B.S. (M.D. Equivalent)
278,Other,Doctor Diploma In Medicine (Equivalent To M.D. Degree In U.S.)
279,Other,Advanced Diploma
280,Other,"Post-Secondary Education, Including 1 Year &1 Semester College Credit"
281,Other,Title Of Specialist
282,Other,M.D Or Foreign Degree Equivalent
283,Other,Mbbs (Md Equivalent)
284,Other,Bachelor Of Dental Surgery
285,Other,Medical Degree (Md Equivalent)
286,Other,Post-Graduate Diploma
287,Other,D.D.S Or Foreign Degree Equivalent
288,Other,Juris Doctorate
289,Other,Mbbs (Foreign Equivalent To The U.S. M.D. Degree)
290,Other,M.B.B.S. (Equivalent Foreign Medical Degree)
291,Other,Post-Graduate Diploma (Equivalent To Us Bachelor'S)
292,Other,Bachelor Equivalent Based On Combination Of Education As Found By Evaluator
293,Other,Medical Degree (M.D. Equivalent)
294,Other,Doctor Of Dental Medicine (D.M.D)
295,Other,Dmd (Doctor Of Dental Medicine)
296,Other,Doctoral Degree In Pharmacy
297,Other,3Yrs Of Academic Study Toward Bachelor Of Science Degree
298,Other,Mbbs (U.S. Equivalency Of An M.D. Degree)
299,Other,Doctor Of Medicine (Md) [Degree Awarded: December 1997]
300,Other,3 Year Foreign Degree
301,Other,Dental Degree
302,Other,Diploma  In Electrical & Electronics Engineering
303,Other,Foreign Degree Equivalent To A U.S. Doctor Of Medicine (M.D.)
304,Other,Doctor Of Optometry (Od)
305,Other,M.D. (Equivalent To A U.S. Medical Degree)
306,Other,Two Years Of Academic Studies Toward A B.S. Degree In Electrical Engineering
307,Other,First Professional Degree (Md)
308,Other,Post Secondary Certification
309,Other,Bachelor'S Education Equivalent
310,Other,Equivalent To Bachelor'S Degree Based On Exp. And Education Eval.
311,Other,Foreign Degree Equivalent To Dds
312,Other,Three Years Of College-Level Study In Computer Science Resulting In Advanced Diploma
313,Other,Pharm D (Doctor Of Pharmacy)
314,Other,Mba In Global Management
315,Other,Vmd
316,Other,"Doctor Of Medicine, Md Degree"
317,Other,Diploma - Technical
318,Other,4 Years Of Undergraduate Study In Physics/Mathematics
319,Other,4 Years Of Undergraduate Study
320,Other,3-Year Indian Bachelor'S Degree
321,Other,Juris Doctor (Jd)
322,Other,Doctor Of Medicine And Surgery (Equivalent To M.D.)
323,Other,Bachelor Of Science (Equivalent)
324,Other,Bachelor'S Equivalency To Management Information Systems (As Determined By Qualified Eval. Serv.)
325,Other,Doctor Of Pharmacy Degree (Pharmd)
326,Other,3-Yr Post Secondary Education * See H.14
327,Other,Three (3) Years Of College Level Coursework
328,Other,3-Yr Post Secondary Education *See H. 14
329,Other,3-Year Bachelor Degree
330,Other,Three Year Bachelor Of Science
331,Other,Foreign Equivalent Of Doctor Of Pharmacy
332,Other,Doctor Of Osteopathic Medicine
333,Other,20 Years Of Experience Equivalent To 6 Years Of Business Management With Specialization In Productio
334,Other,Doctor Of Medicine (Md)
335,Other,Combo Of Degrees For Equivalent Of Bachelor'S
336,Other,Diploma (Post Graduate)
337,Other,Continued In H.14- Bach Equivalent-Bachelors Of Business Management+Masters Of Business Management
338,Other,Three Years Of Academic Studies Toward A Bachelor Of Science Degree
339,Other,3 Yr Bachelors  Deg From India
340,Other,Equivalent To Bs Based On Education & Professional Experience
341,Other,Three Years Of University Level Study Plus 2 Years Of Experience
342,Other,Equivalent Of U.S. Bachelor'S Degree
343,Other,L.L.M.
344,Other,Doctor Of Podiatric Medicine
345,Other,3Yrs Academic Study Twrd Bus.Admin Degree &  5+Yrs Prof Exp
346,Other,Three Years Of University Level Study+One Year Of It Experience(See H.14)
347,Other,Bachelor'S Degree Equiv Combining Bs And Master'S Studies
348,Other,Doctor Of Medicine (Equiv. To U.S. M.D. Degree)
349,Other,
350,Other,Dmd/Dds
351,Other,Medical Degree Or Academic Equivalent
352,Other,Bach Or Equiv/Er Deems 3 Yrs Univ Educ & 3 Yrs Prof Work Exp Equiv To Bach Degree
353,Other,Medical Degree Or Equivalent
354,Other,Dvm  Or Ph.D (See Question H-14)
355,Other,See Box H.14 For Further Explanation
356,Other,Willing To Accept A 3 Or 4 Year Bs
357,Other,Md Or Equivalent
358,Other,Medical Degree (M.D.) Or Equivalent
359,Other,Md Degree Or Foreign Equivalent (W/Ecfmg Certification)
360,Other,Doctor Of Medicine (Md) Or Doctor Of Osteopathic Medicine (Do)
361,Other,Dds Or Dmd
362,Other,D.D.S (Doctor Of Dental Surgery) Or D.M.D (Doctor Of Dental Medicine)
363,Other,Employer Will Accept A 3 Year Or 4 Year Bachelorâ€™S Degree
364,Other,Md Or Mbbs
365,Other,Doctor Of Dental Medicine (Dmd) Or Doctor Of Dental Surgery (Dds)
366,Other,Doctor Of Dental Surgery (Dds) Or Doctor Of Dental Medicine (Dmd)
367,Other,Educ.And/Or Exp. That Cred.Evaluator Concludes As Equiv. To Bs'S Degree
368,Other,Doctor Of Veterinary Medicine (Dvm) Or Veterinary Medical Doctor (Vmd)
369,Other,Medical Doctor (M.D.) Or Dr Osteopathic Medicine (D.O.) Or Foreign Equivalent
370,Other,Md Or Foreign Degree Equivalent To An Md
371,Other,Bachelor'S Or Equivalent (Cont'D In H.14)
372,Other,Phd Or Abd (Near Completion Of Phd)
373,Other,Medical Degree (Degree In Medicine Or Osteopathic Medicine)
374,Other,"M.D., D.O."
375,Other,Bs-Compsci Or Rel;Electric/Electron/Instrumen/Mecheng Or Rel Or Ed.Equiv.Eval Prepared By Qualified
376,Other,Doctor Of Veterinary Medicine (Dvm)
377,Other,Medical Degree/ Ecfmg Equivalent
378,Other,"Juris Doctor (J.D.), Master Of Laws (Ll.M.) Degree, Or Foreign Equivalent"
379,Other,Medical Doctor (M.D.)
380,Other,Bach Deg Or Comb. Of Edctn/Exp. Evaltd To Be Equiv To Bach Deg
381,Other,Juris Doctor Degree
382,Other,M.D. Or Equivalent First Professional Degree In Medicine
383,Other,M.D. Or D.O.
384,Other,Dmd Or Dds
385,Other,Doctor (Dds Or Dmd)
386,Other,"Medical Doctor (Md), Doctor Of Osteopathy (Do) Or Foreign Equiv."
387,Other,* Employer Will Accept 4Yrs College Study In Metallurgical & Chemical Eng.Or Foreign Equivalent
388,Other,Md (Doctor Of Medicine)
389,Other,"Bachelor'S Degree (Or Foreign Equivalent) Or A Combination Of Education, Experience, And Training Ev"
390,Other,M.D. First Professional Degree
391,Other,Md Or Equivalent Or Foreign Equivalent
392,Other,"Bachelor'S Degree Or Equivalent In Experience, & 5 Years Exp. In Business Process Out-Sourcing (Bpo)"
393,Other,First Professional Degree/Md/Ecfmg Equivalent
394,Other,"Must Have A Bachelor'S Degree (Or Foreign Equivalent) Or A Combination Of Education, Experience, And"
395,Other,See H.14 Below
396,Other,Md Or Do Degree
397,Other,Medical Doctor Degree Or Equivalent (E.G. M.B.B.S.)
398,Other,Bachelor'S Degree (Or Equiv Of A Bachelor'S Degree - See Item H.14)
399,Other,Bachelor'S Or Equiv. Combination Of Education And/Or Experience (See H.14)
400,Other,Bachelor'S Degree Or Equiv. Based On Experience
401,Other,Bach Equiv (Will Accept Single Degree Or Combo Of Degree And/Or Prof Exp)
402,Other,U.S. Doctor Of Medicine (M.D.) Or Doctor Of Osteopathy (D.O.) Degree
403,Other,Md Or Related
404,Other,"Bachelor'S Degree Or Equivalent In Education,Training And/Or Experience"
405,Other,Md Or Do
406,Other,Bachelors Degree Or Equivalent Through Education And/Or Experience
407,Other,Medical Degree (Md) Or Equivalent
408,Other,M.D Or D.O
409,Other,Medical Degree Or Doctor Of Osteopathy Degree
410,Other,Bachelorâ€™S Degree Equivalent(Will Accept Single/Combo Of Degrees &/Or Professional Exp.)
411,Other,Jd Or Ll.M Degree
412,Other,First Professional Degree/Md
413,Other,"Professional Degree In Dental Medicine, Dental Surgery, Or Any Related Field"
414,Other,3-4 Years Of College Education
415,Other,M.D. (Doctor Of Medicine) Or Equivalent
416,Other,Doctor Of Medicine (Md) Or Foreign Equivalent
417,Other,Bachelors Or Educational Equivalency Evaluation Prepared By Qualified Evaluation Service
418,Other,Employer Will Accept A 3 Or 4 Year Bachelor'S Degree
419,Other,Ph.D. Or Abd (All But Dissertation)
420,Other,Dmd Or Dds In Dentistry (Science)
421,Other,Three Years Of College Level Study Or Foreign Equivalent
422,Other,"Do, Md, Or First Professional Degree"
423,Other,See H.14 For Further Explanation
424,Other,Medical Doctorate Degree
425,Other,Ph.D. Or Abd
426,Other,Medical Doctor Md/Do Or Equivalent 1St Professional Degree
427,Other,3 Or 4 Year Bachelor'S Degree
428,Other,Bachelor Or Equivalent Based On Combination Of Education Determined By Profession Evaluation Service
429,Other,J.D. Or Equivalent
430,Other,"Professional Degree (I.E., Dds, Dmd)"
431,Other,Juris Doctor Or Master Of Law
432,Other,Doctor Of Medicine Degree
433,Other,Bach Of Sci In Eng Or Eng Tech Or Bach Equiv Based On Combo  . . . . Cont'D See H.14
434,Other,Doctor Of Dental Surgery Or Doctor Of Dental Medicine
435,Other,Dds/Dmd
436,Other,Ph.D
437,Other,D.D.M / D.D.S.
438,Other,"Bachelor'S Degree, Or Equivalent"
439,Other,"The Equivalent Of A Bachelor'S Through A Combination Of Education, Experience, Or Training."
440,Other,D.D.M. Or D.D.S.
441,Other,M.D. Or Foreign Degree Equivalent
442,Other,D.D.S. Or Foreign Degree Equivalent
443,Other,"Dmd, Dds"
444,Other,Md Or Equivalent Foreign Medical Degree
445,Other,J.D. Or Ll.M.
446,Other,M.D. Or Professional Equivalent Level Degree In Medicine
447,Other,U.S. Doctor Of Medicine (M.D.) Or Doctor Of Osteopathy (D.O.)
448,Other,"Bachelor'S Degree, Foreign Equivalent (3 Or 4 Year Degree Is Acceptable)"
449,Other,Dmd/Dds Degree Or Foreign Degree Equivalent To A Dmd/Dds Degree
450,Other,U.S. Doctor Of Medicine (M.D.) Or Doctor Of Osteopathy (D.O)
451,Other,Equivalent To 4 Years Of Education Must Include Education In Information Technology Or Related Field
452,Other,Two Years College
453,Other,"D.M.D. Or D.D.S., Or Foreign Equivalent As Determined By Credentials Evalution"
454,Other,Juris Doctor And Masters In Engineering Or Computer Science
455,Other,Md Degree
456,Other,"Md, Do"
457,Other,Doctor Of Medicine (M.D.) Or Doctor Of Osteopathy (D.O.)
458,Other,Medical Doctor (M.D.) Or Dr Of Osteopathic Medicine (D.O.) Or Foreign Equivalent
459,Other,Doctor Of Pharmacy Degree Or Bs Pharmacy With 5-Years Exp.
460,Other,Medical Doctorate/Degree
461,Other,3 Or 4-Year Bachelor Degree
462,Other,Three Or Four-Year Bachelor'S Degree
463,Other,Do Or Md
464,Other,M.D. In Medicine Or Ph.D. In Physiology W/Conc. In Reproductive Sciences
465,Other,Continued In H.14
466,Other,3 Or 4 Year Bachelor'S Degree (Us Or Foreign College)
467,Other,"Juris Doctor (J.D.), Or Equiv"
468,Other,Jd (Juris Doctor)
469,Other,Medical Degree (Md) Or Doctor Of Osteopathic Medicine (Do)
470,Other,M.D. Or Professional Equivalent Degree In Medicine
471,Other,Bachelor'S (3 Year Foreign Degree Acceptable)
472,Other,Pharm.D. Degree
473,Other,Phd. Phd Abd Also Accepted.*Continued - See Box H.14.
474,Other,Md Or Foreign Equivalency
475,Other,Phd Or Be Assured Of Its Completion W/In 1 Yr Of The 2014-15 Academic Yr
476,Other,Bachelor'S/Employer Accepts 2Yrs Exp In Equity Sales In Lieu Of Bachelor'S
477,Other,Any Suitable Combo. Of Ed./Training And/Or Exper. Equiv. To A Bachelor'S.  See H. 14 For Descrip.
478,Other,"3 Or 4 Year B.Sc. Degree, Or 3 Years Of Studies Toward B.Sc. Degree"
479,Other,Juris Doctor (J.D.) Or Master Of Law (L.L. M.)
480,Other,3-Year Or 4-Year Bachelor'S Degree
481,Other,Bachelor'S. Employer Will Accept 3-Year University Degree To Meet The Bachelorâ€™S Degree Req
482,Other,Doctor Of Optometry
483,Other,3 Years Of Post Secondary Education
484,Other,Master'S Degree Or Equiv. Comb Bachelor'S + 7 Years Of Prof. Exp.
485,Other,Doctor Of Dentistry
486,Other,Dds (Doctor Of Dental Surgery) Or Dmd (Doctor Of Dental Medicine)
487,Other,Associate'S Degree Or 2 Years Of Post-Secondary College Or University Study
488,Other,Medical
489,Other,First Professional Degree In Medicine (M.D. Or Foreign Equivalent)
490,Other,"Bachelor'S Degree Or Its Equiv. Combo Of Edu., Training, And/Or Exp."
491,Other,Ph.D. (All But Dissertation Acceptable For Selection)
492,Other,Two Years Of Bachelor'S Level Education
493,Other,Bachelor'S Degree Or Equivalent
494,Other,Bachelor'S Or Equivalent
495,Other,Doctor Of Medicine (Md) Degree Or Foreign Equivalent
496,Other,"Any Combo Of Degrees, Diplomas, Professional Credentials Equivalent To Us Bachelor Degree. See H.14."
497,Other,M.D. Or Its Foreign Equivalent
498,Other,Will Accept A Single Or Combination Of Degrees *(See H-14)
499,Other,Doctor Of Medicine Or Foreign Equivalent
500,Other,Md Or Foreign Equivalent
501,Other,Doctor Of Naturopathic Medicine
502,Other,Masters Degree Plus All Coursework Completed Towards Ph.D.
503,Other,Dmd/Dds (Doctor Of Dental Medicine/Doctor Of Dental Surgery) (Cont. In H.14)
504,Other,Jd / Law
505,Other,Bachelor'S Or Equiv. Combination Of Education And Experience (See H.14)
506,Other,"Dds Or Dmd, Or Ms In Dentistry"
507,Other,Md (Medical Degree)
508,Other,Bachelor'S Degree Or Foreign Equivalent *
509,Other,Phd Or Abd
510,Other,Pharm D
511,Other,Dvm Or Equivalent Degree
512,Other,3 Years' Collegel Level Credit
513,Other,Bachelor'S Degree Or Equivalent (See H.14.)
514,Other,Jd Or Llm
515,Other,D.M.D. Or D.D.S.
516,Other,J.D. Or Foreign Equivalent
517,Other,Juris Doctor Degree (Jd)
518,Other,Ph.D Or D.B.A.
519,Other,First Professional Degree In Medicine
520,Other,M.D. Degree Or Mbbs Degree
521,Other,"M.D. (Medical Degree, Or Equivalent)"
522,Other,Dds Or Dmd Equivalent
523,Other,"Bachelor'S Or Additional Experience, See H.14"
524,Other,Phd Or Phd Is All But Dissertation (Abd)
525,Other,Md Or Foreign Degree Equivalent
526,Other,"Medical Degree (M.D., Or Equivalent)"
527,Other,Mcse (Microsoft Certified Systems Engineer)
528,Other,Juris Doctor (J.D.) Degree Or A Foreign Equivalent Degree
529,Other,Md Or Advanced Degree Equivalent
530,Other,Veterinary Medical Degree (Dvm Or Vmd)
531,Other,Bachelor'S Degree Or Foreign Equivalent
532,Other,Bachelor'S Degree Or Foreign Equivalent As Determined By Credential Eval Service
533,Other,Pharmd Or Equivalent Foreign Pharmacy Degree
534,Other,Phd Or All Academic Requirements Towards Completion Of Phd.
535,Other,Juris Doctoris
536,Other,Doctorate Or Abd If  Doctorate Awarded By The Time Of Employment
537,Other,Orthodontics Masters Of Science
538,Other,Dvm (Doctor Of Veterinary Medicine)
539,Other,Medical Degree Or Foreign Degree Equivalent
540,Other,Bachelor'S/Equivalent (See Box H-14)
541,Other,Bachelors Or Equivalent Combination Of Educational Programs
542,Other,Medical Doctor Degree Or Certified Foreign Equivalent
543,Other,Three Years Of College-Level Education
544,Other,"All Requirements For A Doctorate Completed By August 15, 2014"
545,Other,Phd Or Abd (All But Dissertation)
546,Other,Dvm Or Equivalent
547,Other,See Box H.14
548,Other,Ph.D. Or Ph.D. All But Dissertation (Abd) Per H-14.
549,Other,"First Professional Degree In Medicine (M.D., D.O, Or Foreign Equivalent)"
550,Other,Master'S Degree Or Equivalent Or Master Of Philosophy Or Equivalent
551,Other,Ph.D (All But Dissertation)
552,Other,"Juris Doctor, Master Of Laws, Or Respective Foreign Equivalent"
553,Other,Bachelor'S Degree In Computer Or Commerce/Business-Rel. Or Combo. Of Educ. & Experience Evaluated To
554,Other,Md/Medical Degree
555,Other,See H.14- Equivalent Of A Bachelor'S Through Education/Experience
556,Other,Bachelor'S Equivalent Based On Education And Experience
557,Other,Juris Doctor And Bachelor'S In Engineering Or Foreign Equivalent
558,Other,M.D. Or D.O
559,Other,Phd Or Phd Candidacy
560,Other,First Professional Degree Of Medicine
561,Other,"Dds, Ddm, Related"
562,Other,Doctor Of Medicine Degree Or M.D.
