Education_id,foreign_worker_info_education,foreign_worker_info_education_other
563,Other,Bachelor'S Degree Or Equivalent As Determined By Experience Evaluation
564,Other,Masterâ€™S Degree (Or Completion Of All Course Requirements)
565,Other,Medical Or Osteopathic Degree
566,Other,Professional Or Masterâ€™S Degree
567,Other,Bachelorâ€™S Degree (Three Or Four Year Degree Acceptable)
568,Other,"3- Or 4-Year Foreign Bachelor'S, Or U.S. Bachelor'S"
569,Other,Juris Doctorate (Law Degree)
570,Other,Md Degree Or Equivalent
571,Other,Medical Doctorate (M.D.)
572,Other,Medical Doctor (Md)
573,Other,3 Or 4 Years Of College Education
574,Other,Bachelorâ€™S Or Equivalent (See H.14)
575,Other,M.D. Or Ecfmg Certified
576,Other,"Phd, Or All But Dissertation, By Effective Date Of Appointment"
577,Other,Degree Not Specifically Required
578,Other,Pharm D.
579,Other,"Md, Do, Or First Professional Degree"
580,Other,Dds/Dmd Degree From A Us University*
581,Other,Phd Or Aud (Doctor Of Audiology)* ; All But Dissertation Will Also Be Considered
582,Other,Doctor Of Medicine Or Doctor Of Osteopathic Medicine
583,Other,Doctor Of Medicine Or Equiv.
584,Other,M.D. Or Equivalent
585,Other,Bachelor'S. See Section H.14.
586,Other,Doctor Of Medicine Or Equivalent.
587,Other,"Md, Do, Or Ecfmg Equivalent"
588,Other,Medical Doctorae/Degree
589,Other,"D.V.M., V.M.D. Or Ecfvg Certification Or Equiv."
590,Other,Jd Or Foreign Degree Equivalent To Jd
591,Other,D.M.D. (Doctor Of Dental Medicine)
592,Other,Dpm (Doctor Of Podiatric Medicine)
593,Other,See H.14.
594,Other,Doctor Of Veterinary Medicine (Dvm) Or Equivalent
595,Other,Jd Or Foreign Equivalent
596,Other,Bachelor'S Or Equivalent* [See H.14]
597,Other,See H.14
598,Other,Ph.D. Or Abd (See Box H.14)
599,Other,Doctor Of Chiropractic Degree
600,Other,Md Or Ecfmg Certified
601,Other,"M.D. Or Equivalent (Eg, Mbbs + U.S. Residency Completion + Usmle + Il Medical License)"
602,Other,Medical Degree Or Foreign Medical Degree Plus Ecfmg
603,Other,Some College Courses In Accounting
604,Other,***See H.14.
605,Other,Doctorate
606,Other,2 Years Of Study Towards A Bachelors Degree
607,Other,Phd By Time Appointment Begins
608,Other,Doctor Of Dentistry Dds Or Dmd
609,Other,"Bachelor'S Degree Or Equiv. Combination Of Education, Training Or Experience*"
610,Other,Studies Equivalent To Associate'S Degree
611,Other,Bachelor'S Or High School And 6 Years In Lieu Of Last 2 Years Of Bachelor'S Degree
612,Other,First Professional Degree Of Doctor
613,Other,M.D. Degree (Doctor Of Medicine) Or Foreign Equivalent
614,Other,Bachelor'S Or Equivalent Based On Combination Of (Continued In H.14)
615,Other,Bachelors Degree (Us Or Equivalent). *See Details In H.14.
616,Other,University-Level Coursework
617,Other,Medical Doctor Degree (M.D.)
618,Other,Md/Do Degree
619,Other,Doctor Of Medicine (Md) Or Equivalent
620,Other,D.D.S
621,Other,Md/Ecfmg Equivalent
622,Other,Doctor Of Medicine (M.D) Or Doctor Of Osteopathy (D.O)
623,Other,Three Years Of College Education
624,Other,Please See Item H-14
625,Other,3-Year Or 4-Year Bachelor'S Degree*
626,Other,"Abd Applicants Will Be Acceptable, But Phd Is Preferred"
627,Other,Medical/Osteopathic Medicine Degree
628,Other,Medical Degree (M.D.) Or Foreign Equivalent
629,Other,3 Years Of Bachelor'S-Level Studies.
630,Other,Doctor Of Medicine Degree (Md)
631,Other,Doctor Of Medicine - Please See Item H.14 Below
632,Other,Master'S/Employer Accepts 4 Yrs Of It Exp In Lieu Of Master'S
633,Other,Three Years Of College-Level Education Toward A Bachelor'S Degree
634,Other,Doctor Of Dental Surgery (Dds)/Doctor Of Dental Medicine (Ddm)
635,Other,Medical Degree Or Foreign Equivalent Adv Degree In Medicine (I.E. Mbbs)
636,Other,3- Or 4-Year Bachelors Degree
637,Other,Doctor Of Pharmacy Degree
638,Other,Law Degree
639,Other,Au.D.
640,Other,Bachelorâ€™S Degree (Will Accept 3 Year Foreign Degree)
641,Other,Bach Or Equiv / Er Deems 3 Yrs Univ Ed & 3 Yrs Work Exp Equiv To A Bach Degree
642,Other,Juris Doctorate Degree
643,Other,"Phd, But Abd Candidates Will Be Considered."
644,Other,"First Professional Degree In Medicine (M.D., D.O., Or Foreign Equivalent)"
645,Other,Medical Doctor Or Doctor Of Osteopathy
646,Other,Bachelor'S Equivalency By Credentialing Agency Based On Experience.
647,Other,Any Suitable Combo Of Ed/Training/Exp Equiv To Bach. (See H14).
648,Other,Jd Or Ll.M
649,Other,Doctor Veterinary Medicine
650,Other,Ph.D. (All But Dissertation (Abd) Acceptable For Selection)
651,Other,Bachelor'S Degree Or Foreign Equivalent *See H.14*
652,Other,See Text In Item H-14.
653,Other,Any Suitable Combination Of Edu./Training And/Or Exp. Equiv. To A Bachelor'S.  See H-14 For Descrip.
654,Other,Law Degree (J.D.)
655,Other,D.D.S. Or D.M.D.
656,Other,"Medical Degree (M.D.), Or Equivalent"
657,Other,1St Professional Deg / Md / Ecfmg
658,Other,M.D. Or D.O. Or Equivalent
659,Other,Ph.D. By Time Of Appointment (All But Dissertation Acceptable For Selection)
660,Other,Dpm
661,Other,Bachelor'S Or Equivalent* (Cont'D In H.14)
662,Other,Doctor Of Audiology (Au.D)
663,Other,Juris Doctorate Or Foreign Equivalent
664,Other,Bachelor Or Bach Equiv Based On Education Training And/Or Experience
665,Other,"Bachelor Equivalency Based On Education, Training And/Or Experience"
666,Other,Dvm Or Dvm Educational Equivalent Or Foreign Equivalent
667,Other,Professional Degree In Medicine
668,Other,Any Suitable Combo Of Ed/Training &/Or Exp. Equiv To A Bachelor'S.  See H14
669,Other,See Addendum In H.14
670,Other,Bachelor'S Degree Or In Lieu Of Bachelorâ€™S Degree Employer Will Accept As Equivalent (Contd In H.14)
671,Other,***See H(14).
672,Other,D.D.S. (Doctor Of Dental Surgery) Or D.M.D. (Doctor Of Dental Medicine)
673,Other,Doctor Of Medicine ( M.D.)
674,Other,Doctor Of Dental Surgery (Dds) Or Doctor Of Dental Medicine (Dmd) Or Foreign Equiv. Professional Deg
675,Other,"3 Years University Studies In Computer Science, Business Administration, Or Related Education"
676,Other,Dvm (Or Equivalent Foreign Degree)
677,Other,Associates Degree Or Bachelor'S Degree Or Equivalent Experience
678,Bachelor'S,Foreign Equivalent
679,Other,Doctorate (Ph.D) Or Ph.D. Candidacy
680,Other,"Doctor Of Medicine, M.D."
681,Other,Juris Doctor Or Foreign Equivalent Law Degree
682,Other,Doctor Of Pharmacy Or Foreign Equivalent
683,Bachelor'S,Not Applicable.
684,Other,"High School Or Ged, And 3 Years University Education"
685,Other,Bach. Degree Or Comb. Of Ed. & Exp. Evaltd To Be Equiv. To Bach. Degree
686,Other,Ph.D. At The Time Of Appointment Is Preferred But Abd (All But Dissertation) Candidates Considered
687,Other,Bachelors Or Equivalent
688,Other,Dmd (Doctor Of Dentistry)
689,Other,Doctor Of Dental Surgery (Dds) Or Doctor Of Dental Medicine Degree (Dmd)
690,Other,Pharmd
691,Other,Md Degree Or Foreign Degree Equivalent
692,Other,Bachelor'S. Employer Will Accept 2 Years *See Section H.14.
693,Other,Doctorate Or Abd Status
694,Other,"M.D., D.O. Or Equivalent (M.B.B.S.)"
695,Other,Bachelor'S Or Equivalent (Er Will Accept Additional 4 Yrs Exp As Bachelor'S Equivalent)
696,Other,Any Combination Of Education & Experience Deemed Equivalent To A Us Bachelor'S Degree.
697,Other,Doctorate Preferred By Time Of Appointment
698,Other,M.D. Or Foreign Equivalent Education
699,Other,Doctor Of Podiatric Medicine (Dpm)
700,Other,3 Years Post-Secondary Education
701,Other,D.V.M. Degree
702,Other,Dvm Or Foreign Equivalent Plus Avma Certification
703,Other,Employer Will Accept Bach Deg Or 4 Yrs College Level Course Work
704,Other,U.S. Juris Doctor (Jd)
705,Other,"Doctor Of Dental Medicine, Dental Surgery, Or Equivalent"
706,Other,Bachelor'S/Accepts 3 Yr Bach Deg + 1 Yr Exp Equiv To Bach Deg
707,Other,Medical Degree (Professional Degree)
708,Other,Any Suitable Combo Of Work And/Or Exp. Equivalent To A Bachelor'S Degree. See H.14
709,Other,"Bachelor'S Degree Or Equivalent In Education, Training And/Or Experience"
710,Other,**See H.11
711,Other,"Bachelor'S Degree Or Foreign Equivalent Degree, 3 Or 4 Year Degree Acceptable."
712,Other,Phd Is Preferred. Abd Will Be Considered.
713,Other,Medical Doctorate (Md)
714,Other,Md Physician Interventional Cardiology
715,Other,Bachelor'S Equivalent: See H.14.
716,Other,Ph.D Or Abd
717,Other,Bachelor Degree Or Equivalent In Business Management
718,Other,* See Answer To H.14.
719,Other,"Professional Degree In Dental Medicine, Dental Surgery, Or Related Field."
720,Other,Juris Doctor Or Ll.M
721,Other,Doctor Of Pharmacy (Pharm D)
722,Other,Phd In Hand Or Progress To Achieve It By Aug. 2014
723,Other,Doctor Of Dental Surgery (Dds)/Doctor Of Medicine Dental (Dmd)
724,Other,"M.D., D.O. Or Foreign Equivalent"
725,Other,"Bachelor'S Equivalent Through Any Combination Of Edu., Exp., Or Training"
726,Other,Phd Candidate With All But Phd Dissertation By Appt Date Will Be Considered
727,Other,Ddm Or Dds
728,Other,M.D. Internal Medicine
729,Other,Law (J.D.)
730,Other,"Phd Or Equivalent Degree(Dsc -Doctor Of Science, Pharmd -Doctor Of Pharmacy)"
731,Other,Dds (Doctor Of Dental Surgery)
732,Other,Medical Degree (Md Or Do)
733,Other,Bachelor'S Degree (3Year Foreign Degree Acceptable)
734,Other,Dvm Or Vmd Or Equivalent
735,Other,"First Professional Degree In Medicine (M.D., D.O. Or Foreign Equivalent)"
736,Other,"M.D., D.O. Or Equivalent"
737,Other,Doctorate Or Abd (Near Completion Of Doctorate)
738,Other,Medical Degree (Or Foreign Equivalent)
739,Other,"Md Or Equivalent (E.G., Mbbs + U.S. Residency Completion & Usmle Certification)"
740,,
741,Other,See Text In Item H.14.
742,Other,Bach Or Equiv/Er Deems 3 Yrs Univ Ed & 3 Yrs Work Exp Equiv To Bachelor
743,Other,Three (3) Year University Degree
744,Other,"Bachelor/In Lieu Of Bachelor, Accepts 2 Yrs Of Exp In Financial Analysis"
745,Other,3 Or 4 Year Baccalureate Degree
746,Other,Juris Doctorate (J.D.) Or Master Of Laws (Ll.M)
747,Other,First Professional Degree/Md/Ecfgm Equivalent
748,Other,Juris Doctorate (J.D.)
749,Other,Bachelor'S Equivalent Based On Education & Experience
750,Other,Dds Or Dmd Degree Or Foreign Equivalent
751,Other,Doctor Of Dental Surgery (Dds)-Medicine (Ddm)
752,Other,M.D Degree (Doctor Of Medicine) Or Foreign Equivalent
753,Other,Bachelors Degree. Will Accept A Bachelor'S Equivalent Based On Work Experience As Determined By Prof
754,Other,Bachelor'S Degree (Or For. Equivalent Degree) (Con'T To H.14.)
755,Other,Bachelor Degree Or Combination Of Education & Experience Evaluated To Be Equivalent To A Bachelor De
756,Other,J.D. (Juris Doctor) Or Ll.M. (Master Of Laws)
757,Other,Phd/Abd In Computer Science Or Related Field Is Preferred.
758,Bachelor'S,None
759,Other,Juris Doctor Degree.
760,Other,Master'S And Bachelor'S
761,Other,Juris Doctor (J.D.) Degree
762,Other,Doctor Of Pharmacy (Pharm.D)
763,Other,Doctor Of Podiatric Medicine Degree
764,Other,Bachelor Or Equivalent As Defined In H.14
765,Other,Doctor Of Dental Surgery (D.D.S.) Doctor Of Dental Medicine (D.M.D.);
766,Other,Doctor Of Medicine (M.D.) Degree
767,Other,Dds Or Foreign Equivalent Dental Degree
768,Other,Bachelor'S/Employer Will Accept 3 Yr University Degree To Meet Bachelor'S Degree Requirement
769,Other,Doctor In Dental Medicine (Dmd)
770,Other,Master Of Architecture
771,Other,Phd / Abd
772,Other,Bachelorâ€™S Degree (U.S. Or Equivalent). Will Accept 3 Or 4 Year Degree.
773,Other,Two Years Of Professional Training
774,Other,Md (Or Foreign Degree Equivalent To An Md)
775,Other,3-4 Year Of College Education
776,Other,Bachelor'S Degree Equivalent (See H.14.)
777,Other,"Dmd, Dd, Or Bds"
778,Other,See H.14 For Further Clarification.
779,Other,See H-14
780,Other,Phd. Employer Will Accept All Required Coursework Completed (See H.14)
781,Other,Doctor Of Medicine Or Doctor Of Osteopathy Degree
782,Other,Mba
783,Other,Juris Doctor (J.D.) Or Equivalent
784,Other,"M.D., D. O."
785,Other,At Least 3 Years Of College/University Study
786,Other,U.S. Doctor Of Medicine (M.D.) Or M.D./Doctor Of Philosophy (M.D./Ph.D.)
787,Other,Doctor Of Medicine Or Doctor Of Osteopathy Degree & Residency: Family Medicine
788,Other,Phd Or Phd Candidate
789,Other,"Professional Degree In Dental Medicine, Dental Surgery, Or Any Related Discipline"
790,Other,Doctor Or Medicine
791,Other,M.D. Or Professional Equivalent Degree
792,Other,Medical Doctor (M.D.) Degree
793,Other,Phd & Dvm
794,Other,"Bachelorâ€™S Or Equivalent Combo Of Edu, Training Or Exp As Determined By A Qualified Ev"
795,Other,2 Years College Education In Engineering Discipline
796,Other,Jd Degree Or Its Foreign Equivalent.
797,Other,"Dds, Dmd"
798,Other,Doctor Of Dental Surgery (D.D.S)
799,Other,Doctor Of Medicine (M.D.) Or Foreign Equivalent
800,Other,Md Or Ecfmg Equivalent
801,Other,All But Disertation (Abd/Ph.D)
802,Other,Professional
803,Other,Medical Degree Or Doctor Osteopathic Medicine
804,Other,J.D. Or Equiv And Ll.M. Or Equiv In Public International Law*
805,Other,3 Or 4 Year Bachelors Degree
806,Other,Medical Degree (M.D.) Or Equivalent Degree
807,Other,Bachelor/Employer Deems 4 Yrs Of Post-Sec Edu As Equiv To Bachelorâ€™S Degree
808,Other,A Bachelor'S Degree Or Its Equivalent (Can Be 3 Year Bachelor'S)
809,Other,Ph.D.  Or Master'S & Completion Of All Requirements F/Ph.D. Except F/ Defense Of Thesis/Dissertation
810,Other,"Dds (Doctor Of Dental Surgery), Dmd (Doctor Of Dental Medicine), Or Equivalent"
811,Other,Professional Degree In Dentistry
812,Other,Phd Or Drph
813,Other,Three-Year Or Four-Year Bachelor'S Degree
814,Other,Bachelor'S Of Architecture & Masterâ€™S In Construction Mgmt. Or Related
815,Other,Md Or Doctor Of Osteopathy
816,Other,Dds Or Equivalent And Periodontics Residency Certificate
817,Other,M.D./D.O.
818,Other,Pharm.D (Doctorate Degree In Phamacy) Or Equivalent
819,Other,"Dmd Or Dds Degree Or Foreign Equivalent (E.G., Bds)"
820,Other,Doctor Of Medicine (M.D.) Or Doctor Of Philosophy (Ph.D.)
821,Other,D.M.D./D.D.S.
822,Other,J.D. And Chinese Law Degree
823,Other,Ph.D. All But Dissertation (Abd)
824,Other,D.D.S. Degree
825,Other,3 Or 4 Year Bachelor Degree
826,Other,Phd Or Abd (Near Completion Of Doctorate)
827,Other,Doctor Of Dental Surgery Dds Or Dental Medicine Dmd
828,Other,Doctor Of Pharmacy Or Foreign Equivalent Of Doctor Of Pharmacy
829,Other,Juris Doctor*
830,Other,"Medical Degree, M.D."
831,Other,M.D. Or M.B.B.S.
832,Other,"Md, Do, Or Equivalent"
833,Master'S,Not Applicable
834,Other,D.D.S. (Doctor Of Dental Science)
835,Other,1 Academic Yr. Post-Secondary Orthodox Jewish Religious Education
836,Other,Llm Or J.D.
837,Other,"Doctor Of Dental Surgery, Doctor Of Dental Medicine Or Bds Equivalent"
838,Other,Doctor Of Dental Surgery Dds Or Doctor Of Dental Medicine Dmd
839,Other,3- Or 4-Year Bachelor'S Degree (See Box H.14)
840,Other,"Bach. Degree Or Equiv Combo Of Edu, Training Or Exp (See H.14)"
841,Other,U.S. Doctor Of Veterinary Medicine (Dvm) Or Veterinariae Medicinae Doctoris (Vmd) Degree
842,Other,Pharm.D.
843,Other,Doctor Of Veterinary Medicine (Or Equivalent Foreign Veterinary Degree)
844,Other,"Dvm Plus Ph.D. In Veterinary Pathology, Veterinary Microbiology Or Related Fields"
845,Other,Law Degree (Juris Doctor - J.D.) And Indian Law Degree
846,Other,Meddegorclin/Resdoct.Degorrelfldcw/Courseofferingsincollofnsg&Hlthprofs
847,Other,First Professional Degree/Dds Or Equivalent
848,Other,Medical Degree Or Foreign Equivalent Degree
849,Other,Ph.D./Abd
850,Other,Ph.D. By The Time Appointment Begins
851,Other,Dds/Dmd Degree (Cont. In H.14)
852,Other,Doctor Of Medicine (M.D.) Or Doctor Of Osteopathic Medicine (D.O.)
853,Other,Doctor Of Medicine (M.D.) Or Doctor Of Osteophatic Medicine (D.O.)
854,Other,"Doctor Of Medicine, Md"
855,Other,M.D. Or M.B.B.S Degree
856,Other,Must Have Or Be Near Completion Of The Ph.D.
857,Other,Doctor Of Veterinary Medicine (D.V.M.) Degree
858,Other,Cpa
859,Other,"Juris Doctor (J.D.), Master Of Laws (Ll.M) Or Equivalent"
860,Other,Doctor Of Music
861,Other,Professional Degree: Dmd Or Dds
862,Other,Professional Degree--Medical Doctor Degree
863,Other,"Professional Degree,  Doctor Of Pharmacy (Pharm D)"
864,Other,Medical Degree Equivalent
865,Other,"Doctorate, Doctoral Candidacy, Or All But Comprehensive Ph.D. Examination"
866,Other,Bachelorâ€™S Degree (3 Year Bachelorâ€™S Is Acceptable)
867,Other,Specialized Training In Proprioceptive-Deep Tendon Reflex Techniques.
868,Other,Jd Or Llm Or Foreign Equivalent
869,Other,Phd Degree Or Doctoral Candidate From Aacsb-Accredited School
870,Other,"Dds, Dmd, Or Equivalent Degree"
871,Other,"Bachelor'S Degree Or Foreign Equivalent, 3 Or 4 Year Degree Acceptable"
872,Other,See Section H.14 Of This Eta 9089
873,Other,First Professional Degree In Dentistry
874,Other,"M.D., D.O. Or Foreign Degree Equivalent"
875,Other,Dds/Dmd Or Equivalent Degree
876,Other,Medicine Or Osteopathy (Md Or Do)
877,Other,"Dvm Plus Ph.D. In Veterinary Pathology, Veterinary Microbiology Or Related  Field"
878,Other,"Professional Degree, Dvm (Doctor Of Veterinary Medicine"
879,Other,Pharm.D
880,Other,Ph.D. Or Dba
881,Other,"Professional Degree In Dental Medicine, Dental Surgery, Related"
882,Other,Bachelor'S Degree Or Academic Equivalent
883,Other,"Dc, Doctor Of Chiropractic"
884,Other,Bach. Degree Or Comb. Of Education/Exp. Evaltd To Be Equiv. To Bach. Degree
885,Other,Bach Degree Or Comb. Of Education/Exp. Evaltd To Be Equiv To Bach Degree
886,Other,Ph.D. In Biology Or Genetics Or A Medical Degree (Md)
887,Other,Phd Or Phd Abd* (Continued In #H.14)
888,Other,Dds Or Dmd Or Equivalent
889,Other,Medical Degree (M.D.) Or Foreign Degree Equivalent
890,Other,"M.D., D.O., Or Ecfmg Equivalent"
891,Other,Doctor Of Dental Surgery (Dds) Or Doctor Of Dental Medicine (Ddm)
892,Other,Ph.D. Or Advancement To Ph.D. Candidacy Or All But Dissertation (Abd)
893,Other,Doctor Of Dental Surgery Dds Or Dmd
894,Other,Md (Medical Degree) / Ecfmg
895,Other,"Md Or Equivalent (E.G., Mbbs + U.S. Residency Completion + Usmle Certification + Il Medical License)"
896,Other,First Professional Degree
897,Other,3 Year'S University Studies In Computer Applications
898,Other,Bach. Degree Or Comb. Of Education/Exp. Evalted To Be Equiv. To Bach. Degree
899,Other,Doctor'S Degree In Chiropractic
900,Other,M.D. Or D.O Or Foreign Equivalent
901,Other,Dental Degree Recognized By Coda. See H.14
902,Other,"Md (Doctor Of Medicine), Do (Doctor Of Osteopathy) Or Foreign Equivalent"
903,Other,Bachelor'S Or Foreign Equivalent
904,Other,A Juris Doctorate Degree Or The Foreign Equivalent Of A U.S. Juris Doctorate Degree.
905,Other,"Dmd, Dds, Or Similar Equivalent"
906,Other,Medical Degree Or Doctor Of Osteopathy
907,Other,Dds- Doctor Of Dental Surgery
908,Other,Phd Or All But Dissertation (Abd) *
909,Other,Dmd/Dds (Or Foreign Degree Equivalent)
910,Other,Juris Doctorate Or Ll.M
911,Other,Three Or Four Year Bachelor'S Degree Acceptable
912,Other,"Phd, Or Abd By Time Of Interview And Phd By Effective Date Of Appointment"
913,Other,1 Year Of College Or Tech Education
914,Other,1 Year College Or Technical Education
915,Other,Doctor Of Chiropractic (D.C.)
916,Other,Dds Or Dmd From Coda Accredited School
917,Other,Some High School Coursework
918,Other,3 Or 4 Year Bachelorâ€™S Degree
919,Other,Dds/Ddm
920,Other,Doctor Of Medicine Or Educational Commission For Foreign Medical Graduates (Ecfmg) Certification
921,Other,Bachelorâ€™S Degree (U.S. Or Equivalent).  See H.14
922,Other,"D.D.S., Or D.M.D. Or Foreign Degree Equivalent"
923,Other,"M.D., Or D.O., Or Foreign Degree Equivalent"
924,Other,Two Years Of College Level Study Or Foreign Equivalent
925,Other,2 Years Of College Education/Associate Degree
926,Other,Ddm/Dds
927,Other,Md Medicine
928,Other,"Medical Degree, Dr. Of Osteopathic Med."
929,Other,Dvm Or Foreign Edu Equiv (Bvsc Deg & Ecfvg Or Pave Cert'N Prgm Completion)
930,Other,Any Suitable Combination Of Education/Training And/Or Experience Equivalent To A Bachelors. See H.14
931,Other,"Medical Degree, Md (Or Foreign Equivalent)"
932,Other,Bachelor'S (Including 3 Year Foreign Bachelor'S Degree)
933,Other,Juris Doctor In Law Or Llm
934,Other,"Dmd, Dds Or Doctor Of Odontology, General Dentistry"
935,Other,Md (First Professional Medical Degree)
936,Other,M.D (Medical Doctor) And Master'S Degree In Health Services Management And Policy.
937,Other,Bachelorâ€™S Degree (U.S. Or Foreign Equivalent).  See H.14
938,Other,Doctor Of Dental Surgery (D.D.S.) Or Doctor Of Dental Medicine (D.M.D.)
939,Other,Md/Do
940,Other,See Text In H.14.
941,Other,Medical Degree Or Doctor Of Osteopathic Medicine
942,Other,Bs/Employer Will Accept 2 Yrs Sap Cons Exp In Lieu Of Bs Degree
943,Other,Md Or Ecfmg Certification
944,Other,Medicine
945,Other,Doctor Of Veterinary Medicine (Dvm) Or Equivalent Degree
946,Other,Ph.D. Or Very Near Completion (All But Dissertation Acceptable For Selection)
947,Other,Medical Degree Or Its Equivalent
948,Other,Comb. Of Educ. & Prof. Credentials Equiv. To Us Bachelors As Det. By Qualified Eval. Svc
949,Other,U.S. Doctor Of Medicine (M.D.) Degree Or Doctor Of Osteopathy (D.O.)
950,Other,Juris Doctor (Law Degree) Or Equivalent
951,Other,"Medical Doctor Degree, Or Equivalent Doctoral Level Degree In Medicine"
952,Other,All But Dissertation
953,Other,"Equivalent Of Bachelor'S Degree Through Any Suitable Combo Of Education, Experience And Training"
954,Other,M.D. Doctor Of Medicine
955,Other,Md Or Equivalent (E.G. Mbbs Plus Residency Completion & Usmle Certificate)
956,Other,Doctor Of Dental Surgery Or Dentist M.D.
957,Other,"Medical Degree (M.D.), Or Equvalent"
958,Other,"Dds, Ddm"
959,Other,"Bachelor'S Degree Or Equivalent In Education, Training & Experience"
960,Other,Bachelor'S Degree Or Foreign 3-Year Bachelor'S Degree
961,Other,3-4 Years Of College Degree
962,Other,Doctorate Of Medicine
963,Other,"J.D., Ll.M. Or Equivalent"
964,Other,All-But-Dissertation (Abd) (See H.14.)
965,Bachelor'S,. N/A
966,Other,Juris Doctor (J. D.) Degree
967,Other,Bachelor'S Or Equivalent - Equivalency Defined In H.14
968,Other,Doctor Of Jurisprudence (J.D.) Degree
969,Other,A Bachelor'S Degree (Willing To Accept Foreign Education Equivalent As Well As A Three-Year Foreign
970,Other,Two (2) Year Diploma
971,Other,Ba Equivalency By Credentialing Agency Based On Combo Of Education And Experience
972,Other,Bachelor'S Degree (Will Accept 3 Year Bachelor'S Degree)
973,Other,Doctor Of Veterinarian Medicine
974,Other,U.S. Medical Degree Or Equivalent Foreign Medical Degree
975,Other,Dvm Or Foreign Degree Equivalent To A Dvm
976,Other,Bach Or Equiv/Er Deems 3 Yrs Univ Edu & 3 Yrs Work Exp Equiv To Bach
977,Other,Doctor Of Dental Sciences (D.D.S.)
978,Other,Bachelor'S Degree And Cpa (Certified Public Accountant) Certification
979,Other,Bachelors Or Will Accept Equiv Combination Of Education And Exp (3Yrs Exp=1Yr College)
980,Other,Please See H-14
981,Other,2 Years University
982,Other,Doctor Dental Surgery Or Dentist M.D.
983,Other,"Dds, Dmd Or Foreign Equivalent To Dds Or Dmd"
984,Other,Doctor Of Medicine (M.D.) Or Equivalent
985,Other,Jd+Us State Bar License; Or Foreign Law Degree+Llm+Us State Bar License
986,Other,Medical Doctor Degree*
987,Other,1 Year Of College Level
988,Other,Juris Doctor Or Llm
989,Other,Md Degree Or Master'S Degree In Nursing Or Clinical Informatics
990,Other,Medical Doctor (M.D.) From An Acgme Accredited Medical School (Or Foreign Equivalent)
991,Other,Jd Or Llm* (Please See Section H.14)
992,Other,Associate Degree
993,Other,First Professional Degree/ Md/Ecfmg Equivalent
994,Other,"2 Years University Coursework, Internship, Or Experience"
995,Other,"Bachelor'S In Computer Science, *(Cont'D At H.14)"
996,Other,3 Or 4 Year U.S. Or Foreign Bachelor'S Degree
997,Other,Juris Doctor Or Master Of Law (Ll.M.)
998,Other,"Phd Or Phd Candidacy, Or Abd (All But Dissertation)"
999,Other,Md (See H.14.)
1000,Other,Jd Or Llb Degree
1001,Other,Bachelor'S Or Experiential Equivalent Of Bachelor'S
1002,Other,A Bachelor'S Degree Or Its Equivalent (Can Be 3 Year Bachelor'S).
1003,Other,Doctor Of Optometry Degree
1004,Other,"Md, Do Or Foreign Equivalent"
1005,Other,Two Masterâ€™S Degrees Diplomas
1006,Other,California
1007,Other,Md Or Foreign Equivalent Degree
1008,Other,Md (Or Equivalent Foreign Medical Degree)
1009,Other,Bachelor'S Or Equiv. Combination Of Education And/Or Experience (See H. 14)
1010,Other,Bachelor&Rsquo;S Degree Equivalent (Combo Of Degrees - See H.14.
